UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
08-0241_f1_0023_12680.4_3951.96,12680.4,3951.96,-0.65579
08-0241_f1_0023_12674_3951.38,12674,3951.38,-0.76259
08-0241_f1_0023_12706.4_3950.35,12706.4,3950.35,1.37074
08-0241_f1_0023_12660.9_3951.32,12660.9,3951.32,-0.353906
08-0241_f1_0023_12667.1_3950.46,12667.1,3950.46,-0.590367
08-0241_f1_0023_12688.9_3949.12,12688.9,3949.12,-0.729333
08-0241_f1_0023_12648.5_3943.54,12648.5,3943.54,-0.248445
08-0241_f1_0023_12695.5_3944.19,12695.5,3944.19,-0.447986
08-0241_f1_0023_12676.8_3942.73,12676.8,3942.73,-0.581498
08-0241_f1_0023_12525.1_3944.43,12525.1,3944.43,-0.691369
08-0241_f1_0023_12533.4_3945.63,12533.4,3945.63,1.46639
08-0241_f1_0023_12644.4_3944.97,12644.4,3944.97,-0.198832
08-0241_f1_0023_12515.6_3939.87,12515.6,3939.87,0.329564
08-0241_f1_0023_12708.8_3943.81,12708.8,3943.81,1.2899
08-0241_f1_0023_12667.2_3943.64,12667.2,3943.64,-1.13088
08-0241_f1_0023_12624.7_3939.82,12624.7,3939.82,-1.39727
08-0241_f1_0023_12641.1_3941.48,12641.1,3941.48,0.902837
08-0241_f1_0023_12572.8_3934.64,12572.8,3934.64,0.482164
08-0241_f1_0023_12671.3_3936.54,12671.3,3936.54,0.06058
08-0241_f1_0023_12556.9_3935.19,12556.9,3935.19,0.132256
08-0241_f1_0023_12637.7_3939.33,12637.7,3939.33,-1.34232
08-0241_f1_0023_12565.3_3932.83,12565.3,3932.83,0.104074
08-0241_f1_0023_12604.3_3935.1,12604.3,3935.1,-0.017842
08-0241_f1_0023_12630.7_3937.74,12630.7,3937.74,0.014214
08-0241_f1_0023_12520.9_3934.95,12520.9,3934.95,0.001684
08-0241_f1_0023_12530.4_3933.15,12530.4,3933.15,0.62683
08-0241_f1_0023_12595.8_3935.7,12595.8,3935.7,0.127289
08-0241_f1_0023_12589.5_3936.48,12589.5,3936.48,1.41012
08-0241_f1_0023_12625.7_3935.81,12625.7,3935.81,-1.44819
08-0241_f1_0023_12726.3_3936.26,12726.3,3936.26,1.18691
08-0241_f1_0023_12506.1_3932.31,12506.1,3932.31,0.391223
08-0241_f1_0023_12497.5_3933.49,12497.5,3933.49,0.217327
08-0241_f1_0023_12636.9_3935.35,12636.9,3935.35,0.785853
08-0241_f1_0023_12613.3_3932.68,12613.3,3932.68,0.4051
08-0241_f1_0023_12599_3932.01,12599,3932.01,-0.30633
08-0241_f1_0023_12515.5_3929.56,12515.5,3929.56,0.303471
08-0241_f1_0023_12589.5_3929.78,12589.5,3929.78,-0.498656
08-0241_f1_0023_12629.6_3931.15,12629.6,3931.15,-0.253729
