UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
07-0289_f1_0002_-2398.88_-6492.36,-2398.88,-6492.36,-0.593577
07-0289_f1_0002_-2406.13_-6496.98,-2406.13,-6496.98,0.613346
07-0289_f1_0002_-2383.7_-6499.62,-2383.7,-6499.62,0.288577
07-0289_f1_0002_-2378.73_-6495.28,-2378.73,-6495.28,0.704834
07-0289_f1_0002_-2375.16_-6493.48,-2375.16,-6493.48,-0.703597
07-0289_f1_0002_-2395.99_-6498.27,-2395.99,-6498.27,0.138941
07-0289_f1_0002_-2389.98_-6494.9,-2389.98,-6494.9,0.744024
07-0289_f1_0002_-2371.45_-6499.22,-2371.45,-6499.22,0.235816
07-0289_f1_0002_-2365.71_-6500.1,-2365.71,-6500.1,0.228226
07-0289_f1_0002_-2359_-6500.18,-2359,-6500.18,0.655952
07-0289_f1_0002_-2388.75_-6501.6,-2388.75,-6501.6,0.563263
07-0289_f1_0002_-2377.01_-6503.35,-2377.01,-6503.35,0.337861
07-0289_f1_0002_-2400.88_-6501.8,-2400.88,-6501.8,0.185994
07-0289_f1_0002_-2410.91_-6503.04,-2410.91,-6503.04,0.301802
07-0289_f1_0002_-2415.82_-6503.28,-2415.82,-6503.28,0.646946
07-0289_f1_0002_-2354.6_-6503.92,-2354.6,-6503.92,0.403494
07-0289_f1_0002_-2361.81_-6505.43,-2361.81,-6505.43,1.55672
07-0289_f1_0002_-2405.88_-6506.01,-2405.88,-6506.01,1.05481
07-0289_f1_0002_-2394.26_-6505.07,-2394.26,-6505.07,1.42112
07-0289_f1_0002_-2366.44_-6506.35,-2366.44,-6506.35,0.796652
07-0289_f1_0002_-2419.58_-6507.21,-2419.58,-6507.21,0.571452
07-0289_f1_0002_-2387.29_-6507.46,-2387.29,-6507.46,0.886349
07-0289_f1_0002_-2357.93_-6509.11,-2357.93,-6509.11,-1.48838
07-0289_f1_0002_-2414.5_-6509.57,-2414.5,-6509.57,-1.14137
07-0289_f1_0002_-2406.92_-6509.28,-2406.92,-6509.28,0.986604
07-0289_f1_0002_-2422_-6512.46,-2422,-6512.46,1.21534
07-0289_f1_0002_-2364.01_-6511.64,-2364.01,-6511.64,-1.37303
07-0289_f1_0002_-2352.08_-6514.52,-2352.08,-6514.52,0.569768
07-0289_f1_0002_-2389.34_-6514.11,-2389.34,-6514.11,-1.54248
07-0289_f1_0002_-2411.55_-6513.16,-2411.55,-6513.16,0.955988
07-0289_f1_0002_-2404.73_-6515.65,-2404.73,-6515.65,1.18146
07-0289_f1_0002_-2414.25_-6515.77,-2414.25,-6515.77,0.9943
07-0289_f1_0002_-2364.93_-6517.84,-2364.93,-6517.84,0.302997
07-0289_f1_0002_-2427.06_-6517.73,-2427.06,-6517.73,-0.618962
07-0289_f1_0002_-2438.36_-6518.93,-2438.36,-6518.93,-0.212876
07-0289_f1_0002_-2420_-6518.31,-2420,-6518.31,-1.27075
07-0289_f1_0002_-2360.37_-6522.04,-2360.37,-6522.04,-0.076517
07-0289_f1_0002_-2413.44_-6522.02,-2413.44,-6522.02,0.92216
07-0289_f1_0002_-2443.95_-6521.22,-2443.95,-6521.22,-0.964711
07-0289_f1_0002_-2406.26_-6523.36,-2406.26,-6523.36,0.019958
07-0289_f1_0002_-2350.76_-6522.6,-2350.76,-6522.6,1.55523
07-0289_f1_0002_-2401.66_-6523.1,-2401.66,-6523.1,0.00688
07-0289_f1_0002_-2439.49_-6525.78,-2439.49,-6525.78,0.469351
07-0289_f1_0002_-2393.72_-6525.11,-2393.72,-6525.11,1.38282
07-0289_f1_0002_-2427.02_-6524.83,-2427.02,-6524.83,1.12759
07-0289_f1_0002_-2446.37_-6526.15,-2446.37,-6526.15,1.09574
07-0289_f1_0002_-2343.72_-6525.35,-2343.72,-6525.35,1.00506
