UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
04-0152_f1_0017_9859.28_-4485.79,9859.28,-4485.79,1.2916
04-0152_f1_0017_9846.93_-4493.08,9846.93,-4493.08,0.10822
04-0152_f1_0017_9852.37_-4492.29,9852.37,-4492.29,0.100048
04-0152_f1_0017_9838.69_-4489.89,9838.69,-4489.89,0.168426
04-0152_f1_0017_9897.4_-4490.6,9897.4,-4490.6,-1.20877
04-0152_f1_0017_9833.7_-4495.8,9833.7,-4495.8,0.749487
04-0152_f1_0017_9899.81_-4497.3,9899.81,-4497.3,-1.01415
04-0152_f1_0017_9828.3_-4503.78,9828.3,-4503.78,0.094902
04-0152_f1_0017_9817.62_-4497.78,9817.62,-4497.78,0.026889
04-0152_f1_0017_9890.95_-4498.14,9890.95,-4498.14,0.907304
04-0152_f1_0017_9812.93_-4499.5,9812.93,-4499.5,0.062416
04-0152_f1_0017_9789.66_-4497.96,9789.66,-4497.96,-1.55543
04-0152_f1_0017_9844.78_-4502.97,9844.78,-4502.97,0.008313
04-0152_f1_0017_9855.28_-4500.5,9855.28,-4500.5,-0.274161
04-0152_f1_0017_9799.95_-4502.83,9799.95,-4502.83,-0.172681
04-0152_f1_0017_9861.35_-4499.37,9861.35,-4499.37,-0.380357
04-0152_f1_0017_9806.4_-4505.02,9806.4,-4505.02,-0.394819
04-0152_f1_0017_9776.23_-4503.35,9776.23,-4503.35,-0.129944
04-0152_f1_0017_9784.09_-4507.28,9784.09,-4507.28,0.697522
04-0152_f1_0017_9768.51_-4506.38,9768.51,-4506.38,0.163123
04-0152_f1_0017_9820.97_-4504.01,9820.97,-4504.01,0.319304
04-0152_f1_0017_9792.41_-4503.11,9792.41,-4503.11,-1.39372
04-0152_f1_0017_9889.49_-4502.93,9889.49,-4502.93,1.38436
04-0152_f1_0017_9762.06_-4502.09,9762.06,-4502.09,1.25366
04-0152_f1_0017_9899.98_-4505.27,9899.98,-4505.27,1.42977
04-0152_f1_0017_9755.12_-4506.01,9755.12,-4506.01,0.658227
04-0152_f1_0017_9838.87_-4506.59,9838.87,-4506.59,-0.178555
04-0152_f1_0017_9740.12_-4505.39,9740.12,-4505.39,0.576328
04-0152_f1_0017_9731.45_-4507.19,9731.45,-4507.19,0.258102
04-0152_f1_0017_9750.92_-4510.59,9750.92,-4510.59,0.3908
04-0152_f1_0017_9814.14_-4509.17,9814.14,-4509.17,-0.00264
04-0152_f1_0017_9887.49_-4506.83,9887.49,-4506.83,1.07587
04-0152_f1_0017_9723.62_-4508.56,9723.62,-4508.56,-0.281838
04-0152_f1_0017_9718.57_-4512.42,9718.57,-4512.42,0.475948
04-0152_f1_0017_9728.81_-4514.06,9728.81,-4514.06,0.321027
04-0152_f1_0017_9792.55_-4512.89,9792.55,-4512.89,-0.261289
04-0152_f1_0017_9809.17_-4511.08,9809.17,-4511.08,-0.352684
04-0152_f1_0017_9820.25_-4509.7,9820.25,-4509.7,0.245264
04-0152_f1_0017_9744.66_-4514.11,9744.66,-4514.11,0.535944
04-0152_f1_0017_9763.48_-4515.02,9763.48,-4515.02,0.292331
04-0152_f1_0017_9894.07_-4509.7,9894.07,-4509.7,1.30129
04-0152_f1_0017_9737.89_-4514.39,9737.89,-4514.39,0.223964
04-0152_f1_0017_9900.32_-4510.94,9900.32,-4510.94,0.939202
04-0152_f1_0017_9704.4_-4514.3,9704.4,-4514.3,0.108608
04-0152_f1_0017_9775.77_-4512.77,9775.77,-4512.77,-0.205126
04-0152_f1_0017_9757.03_-4511.49,9757.03,-4511.49,0.398712
04-0152_f1_0017_9876.23_-4515.2,9876.23,-4515.2,0.56055
04-0152_f1_0017_9822.79_-4515.16,9822.79,-4515.16,-0.430527
04-0152_f1_0017_9709.1_-4517.91,9709.1,-4517.91,0.089566
04-0152_f1_0017_9715.08_-4517.07,9715.08,-4517.07,-0.227799
04-0152_f1_0017_9884.5_-4517.52,9884.5,-4517.52,0.804128
04-0152_f1_0017_9898.21_-4516.04,9898.21,-4516.04,1.48769
04-0152_f1_0017_9757.11_-4517.18,9757.11,-4517.18,-0.12229
04-0152_f1_0017_9771.18_-4516.99,9771.18,-4516.99,1.55318
04-0152_f1_0017_9694.24_-4520.14,9694.24,-4520.14,0.042814
04-0152_f1_0017_9735.27_-4521.93,9735.27,-4521.93,0.193382
04-0152_f1_0017_9677.91_-4521.74,9677.91,-4521.74,-0.67313
04-0152_f1_0017_9891.23_-4522.16,9891.23,-4522.16,0.386774
04-0152_f1_0017_9783.71_-4520.85,9783.71,-4520.85,-0.572754
04-0152_f1_0017_9726.01_-4524.04,9726.01,-4524.04,0.296075
04-0152_f1_0017_9691.67_-4525.49,9691.67,-4525.49,0.350785
04-0152_f1_0017_9896.33_-4520.71,9896.33,-4520.71,0.947886
04-0152_f1_0017_9900.59_-4522.34,9900.59,-4522.34,-0.563809
04-0152_f1_0017_9685.94_-4524.95,9685.94,-4524.95,-0.768259
04-0152_f1_0017_9717.01_-4523.07,9717.01,-4523.07,-1.03209
